,CUSTOMER,cluster
1093,92845,2
1094,92848,1
1095,92850,1
1096,92852,1
1097,92858,2
1098,92859,2
1099,92865,1
1100,94291,1
1101,98286,1
1102,98307,2
1103,98335,2
1104,98348,1
1105,98359,1
1106,98375,1
1107,98434,2
1108,98440,2
1109,98483,2
1110,98505,1
1111,98509,2
1112,98517,2
1113,98521,1
1114,98522,1
1115,98523,2
1116,98609,2
1117,98612,2
1118,98618,1
1119,98619,2
1120,98630,1
1121,98632,2
1122,98634,1
1123,98681,2
1124,98684,2
1125,98693,1
1126,AAA00000002R,1
1127,AAA00000006R,2
1128,AAA00000082R,1
1129,AAA00000094R,2
1130,AAA00000098R,0
1131,AAA00000099R,2
1132,AAA00000102R,1
1133,AAA00000121R,2
1134,AAA00000127R,0
1135,AAA00000135R,0
1136,ACA00000003R,2
1137,ACA00000026R,2
1138,BEA00000003R,2
1139,BEA00000080R,2
1140,BEA00000230R,2
1141,BEA00000268R,2
1142,BEA00000326R,2
1143,BFA00000171R,2
1144,BFA00000344R,2
1145,BFA00000353R,1
1146,BFA00000450R,1
1147,BFA00000475R,2
1148,BFA00000476R,1
1149,BFA00000496R,2
1150,BFA00000505R,2
1151,BHA00000031R,0
1152,BIA00000008R,1
1153,BKA00000031R,2
1154,BKA00000061R,1
1155,BLA00000045R,2
1156,BLA00000068R,2
1157,BSA00000016R,2
1158,BSA00000019R,2
1159,BSA00000023R,1
1160,BSA00000060R,2
1161,CBA00000011R,2
1162,CBA00000101R,2
1163,CJA00000050R,1
1164,CJA00000063R,2
1165,DAA00000100R,2
1166,EAA00000012R,2
1167,EAA00000015R,2
1168,EAA00000019R,2
1169,EAA00000030R,2
1170,EAA00000043R,0
1171,EAA00000066R,1
1172,EAA00000076R,2
1173,EAA00000082R,2
1174,EAA00000095R,2
1175,EAA00000103R,1
1176,EAA00000130R,1
1177,EAA00000139R,0
1178,EAA00000158R,2
1179,EAA00000165R,2
1180,FCA00000004R,1
1181,FCA00000154R,0
1182,FCA00000222R,2
1183,FCA00000223R,2
1184,GAA00000046H,2
1185,GAA00000046R,2
1186,GAA00000063R,2
1187,GAA00000706R,1
1188,GAA00001151R,2
1189,GAA00001200R,2
1190,GAA00001221R,2
1191,GAA00001365R,2
1192,GAA00001461R,1
1193,GAA00001677R,1
1194,GAA00001779R,2
1195,GAA00001802R,2
1196,GAA00001840R,2
1197,GAA00001841R,1
1198,GAA00001843R,2
1199,GAA00001855R,2
1200,GAA00001873R,2
1201,GAA00001882R,2
1202,GAA00001907R,2
1203,GAA00001908R,2
1204,GAA00001910R,1
1205,GAA00001916R,2
1206,GAA00001920R,2
1207,GAA00001937R,2
1208,GBC00000054R,2
1209,GDA00000342R,2
1210,GFA00000004R,1
1211,GFA00000049R,1
1212,GGA00001030R,1
1213,GGA00001039R,1
1214,GGA00001235R,1
1215,GGA00001351R,1
1216,GGA00001370R,2
1217,GGA00002542R,2
1218,GGA00002550R,2
1219,GGA00002557R,2
1220,GGA00002605R,2
1221,GGA00002638R,2
1222,GGA00002658R,1
1223,GGA00002669R,2
1224,GGA00002682R,2
1225,GGA00002692R,1
1226,GHA00000145R,1
1227,GIA00000010R,2
1228,GIA00000108R,2
1229,GIA00000253R,2
1230,GIB00000111R,1
1231,GLA00000198R,2
1232,GMA00000147R,2
1233,GOA00000333R,2
1234,GOA00000682R,2
1235,GOA00000690R,2
1236,GOA00000701R,2
1237,HK000000056H,2
1238,HK000000102H,2
1239,HK000000128H,1
1240,HK000000336H,2
1241,HK000000407H,2
1242,HK000000528H,2
1243,HK000000580H,2
1244,HK000000600H,2
1245,HK000000794H,2
1246,HK000000866H,2
1247,HK000001068H,2
1248,HK000001424H,2
1249,HK000001492H,1
1250,IAA00000040R,1
1251,IBA00000033R,1
1252,JAA00000075R,2
1253,JAA00000111R,2
1254,JAA00000119R,1
1255,JAA00000161R,2
1256,JAA00000205R,1
1257,JAA00000339R,0
1258,JAA00000442R,2
1259,JAA00000445R,2
