CUSTOMER,ITEM,QTY
1007029,1212059,1
1007029,1212071,1
1007032,1085899,4
1007032,6023140,4
1007039,1056983,4
1007046,1056982,1
1007046,2033414,1
1007046,2034880,1
1007046,6035129,1
1007048,1055245,2
1007052,1059966,20
1007052,1215873,1
1007052,5311708,2
1007052,6025612,7
1007052,6035596,1
1007061,1044255,1
1007061,1044339,1
1007061,1044680,3
1007061,6025473,5
1007065,1101999,1
1007079,2047006,1
1007082,2020214,6
1007082,6035037,1
1007095,1044627,1
1007095,1044680,2
1007095,1047717,1
1007095,1059860,1
1007095,1062899,1
1007095,2068448,1
1007095,6033231,1
1007098,1200566,1
1007098,1200583,1
1007098,2046045,2
1007098,6025470,1
1007113,1085899,4
1007113,1213777,4
1007113,1213778,4
1007113,2067169,4
1007117,1065065,1
1007130,1213767,2
1007130,1213768,2
1007130,2071576,2
1007132,1028463,4
1007132,1200678,4
1007132,6035137,24
1007134,1212026,4
1007134,1212027,4
1007134,2067169,4
1007158,1060058,5
1007163,1212033,1
1007163,1212034,1
1007163,2066603,2
1007163,6025470,1
1007173,1085667,2
1007173,1085668,2
1007173,6026691,1
1007186,1019990,1
1007204,1085667,1
1007204,1085668,1
1007205,6035131,3
1007214,1060058,2
1007214,1085899,2
1007218,1085673,1
1007218,1085674,1
1007218,2020204,1
1007246,1024446,1
1007246,1056986,1
1007246,6027943,1
1007262,6035129,1
1007299,5309313,12
1007299,5309719,36
1007299,6025670,12
1007306,1085665,2
1007306,1085666,2
1007306,1085671,1
1007306,1085672,1
1007306,1085899,3
1007311,1085667,5
1007311,1085668,5
1007311,1085899,1
105354,7083088,2
115854,1062566,4
116024,1061172,4
116024,1061173,4
116024,1061174,4
116024,1061175,4
116024,6025470,4
116052,1212024,1
116052,1212025,1
116145,2023157,1
116145,2077387,3
116192,6026691,5
116238,1059965,8
116243,1063094,4
116243,1068191,5
116265,1081529,2
116265,2034819,2
116597,1085669,1
116597,1085670,1
116716,1212056,3
116716,1212057,3
116716,2067169,3
116840,2023157,6
116845,2071543,2
116845,2071576,2
116887,1041181,2
116887,1086124,1
116887,1086125,1
116887,2099264,2
116963,6035037,2
116970,1044255,6
116970,1044338,6
116970,1044629,2
116970,1044680,12
116970,1069625,6
116970,6033231,6
116970,6035129,1
117011,1099031,2
117256,1024101,2
117256,2027726,2
117257,1207804,1
117257,1207805,1
117257,1207815,1
117265,5309718,2
117265,5311686,2
117265,6025612,2
117405,1099012,1
117405,1213757,1
117405,1213758,1
117405,1213759,1
117405,1213760,1
117405,2067169,2
117517,1220107,1
117517,1220108,1
117517,2024263,1
117535,6025632,3
117626,1044338,1
117626,1044680,1
117626,6026698,1
117680,1213761,2
117680,1213762,2
117680,2067169,2
117680,6025470,2
117870,5309589,1
117870,5311368,1
117870,5326443,5
117870,6025632,1
117879,1060058,2
117879,2076386,1
117879,2076388,1
117934,2039857,3
117934,2039858,3
130922,1056985,1
130923,1027376,1
130923,1085899,1
130923,2033362,1
136545,1018729,2
136545,1018730,2
136545,2020214,2
136545,6025470,2
92167,1207670,1
92167,1207681,1
92168,1024101,5
92168,2024352,5
92168,6027896,4
92168,6027897,4
92168,6027898,4
92168,6035130,1
92174,6025614,4
92175,1046205,1
92175,2047841,1
92177,1081529,2
92177,2033412,2
92177,6035129,1
92224,1213757,2
92224,1213758,2
92224,2067169,2
92231,1078080,2
92231,1213757,1
92231,1213758,1
92231,1213767,1
92231,1213768,1
92231,2067169,1
92235,2039803,2
92243,6035136,2
92243,6035137,6
92245,1085667,1
92245,1085668,1
92245,5330389,2
92245,6025614,2
92343,1019228,3
92343,1019229,3
92343,2020214,3
92372,1085665,16
92372,1085666,16
92412,1085667,1
92412,1085668,1
92414,1212053,1
92414,1212071,1
92414,2067169,1
92477,1081529,4
92477,1213765,4
92477,1213766,4
92477,1213769,2
92477,1213770,2
92477,2033362,4
92477,2034879,4
92477,2067169,6
92477,6035129,1
92505,1016296,1
92505,1026842,1
92505,2031065,1
92505,4040561,1
92505,6035129,2
92508,1018743,1
92508,1018744,1
92508,1213767,2
92508,1213768,2
92508,2071576,2
92541,1024101,1
92541,1061176,1
92541,1061177,1
92541,4076417,1
92551,1068191,11
92610,6022471,1
92641,1213763,4
92641,1213764,4
92641,2067169,4
92667,1213739,2
92667,1213755,2
92667,1213761,1
92667,1213762,1
92667,2067169,3
92682,6023140,2
92702,1085669,1
92702,1085670,1
92702,1085899,1
92702,1085900,2
92726,1212053,4
92726,1212071,4
92726,2067169,4
92735,1070117,1
92735,1078498,1
92735,1085898,2
92735,1085900,1
92773,1213767,1
92773,1213768,1
92773,2067169,1
92805,1085898,2
92805,2067169,1
92817,1062566,3
92817,1085900,2
92848,1212051,1
92848,1212052,1
92848,2067169,4
92850,1085667,1
92850,1085668,1
92852,1213718,1
92852,1213743,1
92852,2074098,2
92865,1085899,1
94291,6035797,3
98286,1059966,2
98348,1213757,2
98348,1213758,2
98348,2067169,2
98359,1060058,2
98359,1061176,1
98359,1061177,1
98359,1061178,1
98359,1061179,1
98359,1070646,1
98359,1070647,1
98375,1073110,1
98375,1073114,2
98375,2031065,4
98505,1099031,3
98521,1060063,13
98522,1029489,1
98522,2016180,1
98522,2049777,1
98522,6035129,1
98618,1061172,1
98618,1061173,1
98618,1070644,1
98618,1070645,1
98630,1099031,1
98630,2071576,1
98634,1024445,2
98634,2016178,2
98634,2024352,2
98634,6035129,2
98693,1019988,2
98693,1099033,1
AAA00000002R,5309052,20
AAA00000002R,6023140,20
AAA00000082R,5307084,1
AAA00000082R,6023140,1
AAA00000102R,6035427,1
BFA00000353R,1100032,1
BFA00000353R,2034879,14
BFA00000450R,1083245,76
BFA00000450R,1083247,76
BFA00000450R,1212041,26
BFA00000450R,1212042,26
BFA00000450R,1212060,20
BFA00000450R,1212061,20
BFA00000450R,1212064,20
BFA00000450R,1212065,20
BFA00000450R,2067169,142
BFA00000476R,1060059,5
BFA00000476R,6025470,1
BIA00000008R,1095918,1
BIA00000008R,1101255,1
BIA00000008R,7083319,1
BKA00000061R,1029490,1
BSA00000023R,1212045,1
BSA00000023R,1212046,1
BSA00000023R,2027727,2
CJA00000050R,1085665,25
CJA00000050R,1085666,25
CJA00000050R,1085669,5
CJA00000050R,1085670,5
CJA00000050R,5309589,2
CJA00000050R,5309590,26
CJA00000050R,5311369,1
CJA00000050R,5311845,2
CJA00000050R,6025439,2
EAA00000066R,1213759,4
EAA00000066R,1213760,4
EAA00000066R,2067169,4
EAA00000066R,6025470,4
EAA00000103R,1212037,1
EAA00000103R,1212038,1
EAA00000103R,2071576,4
EAA00000130R,7083141,1
FCA00000004R,1059966,16
FCA00000004R,5311691,1
FCA00000004R,6025438,1
FCA00000004R,6026691,1
GAA00000706R,1027375,1
GAA00001461R,2077389,2
GAA00001677R,1213718,3
GAA00001677R,1213743,3
GAA00001677R,2067169,3
GAA00001841R,1073015,8
GAA00001910R,1059966,16
GFA00000004R,6035200,10
GFA00000049R,1085671,2
GFA00000049R,1085672,2
GFA00000049R,1213761,1
GFA00000049R,1213762,1
GFA00000049R,2067169,1
GFA00000049R,6012696,1
GFA00000049R,6025470,3
GGA00001030R,6035129,3
GGA00001039R,1060060,10
GGA00001235R,1099030,4
GGA00001235R,1099031,2
GGA00001351R,1060059,47
GGA00001351R,5330389,4
GGA00001351R,6025612,4
GGA00002658R,6025472,4
GGA00002692R,1027376,7
GGA00002692R,2034819,7
GHA00000145R,2099265,1
GIB00000111R,2018105,12
HK000000128H,1213769,6
HK000000128H,1213770,6
HK000000128H,2031065,1
HK000000128H,2066603,12
HK000000128H,6025470,6
HK000001492H,1610831,6
HK000001492H,1610834,2
IAA00000040R,6035519,16
IAA00000040R,6035520,16
IBA00000033R,1027375,6
IBA00000033R,1212057,1
IBA00000033R,1213768,2
JAA00000119R,1063094,90
JAA00000205R,5307084,2
JAA00000205R,5307091,2
JAA00000205R,5308825,2
JAA00000205R,6021091,3
JAA00000448R,5320533,40
JAA00000448R,6052156,40
JBA00000027R,1024102,2
JBA00000027R,2016178,2
JBA00000027R,2023865,2
JBA00000027R,2031155,1
JBA00000027R,6021750,2
JDA00000033R,2039803,4
JDA00000033R,6035129,2
JDA00000033R,7083088,1
JDA00000296R,6035797,1
